aamu ,jäljellä olevista palveluspäivistä armeijassa  ,Nyt on aamut vähissä. Montaks aamua sulia on jäljellä? ,service days in army
bylsiä ,"naida, rakastella, nussia  ","slg. Kukaan ei päässv vessaan, ku yhet bylsi siellä. Ootsä muka bylsiny sen kanssa ? ",have sex
bändi ,"yhtye, orkesteri  ",Bändi soitti vanhaa rokkia. Ootko sä jossain bändissä? Mä en jaksa kuunnella näitä nykysiä hip hop -bändejä yhtään. ,band
"bänksit, bänät ",seurustelun lopettamisesta  ,Ville teki bänksit Lissun kanssa. Nyt tuut äkkiä kotiin tai tulee bänksit! Meille tuli bänät. ,breaking up (a relationship)
daiju ,"tyhmä, yksinkertainen  ",slg. Ootsä ihan daiju ? Mä en kestä tommosia daijuja. ,stupid
daijuun ,"lyömisestä, selkään antamisesta: kuonoon, naamaan, turpaan  ","slg. Älä mee sinne, saat vielä daijuun. Nyt tulee jätkä daijuun! ",beaten up
darra ,krapula  ,"slg. Mulle tulee punkusta kauhee darra. Siltä meni kortti, ku se ajo autoo darrassa. ",hangover
deejii ,"DJ, tiskijukka  ",Deejii soitti teknoo koko illan. Ville yritti päästä siihen diskoon deejiiks. ,"disc jockey, DJ"
deekikseilä ,"rappiolla, alkoholisoituneena; alkoholisoitunut, masentunut  ","Kyllä mä joskus otan, mutta en mä nyt sentään missään deekikseilä oo. Kun se jäi työttömäks, se joutu deekikselle. Se on menny ihan deekikselle. ","addicted to alcohol, degenerated"
deeku ,"juoppo, rappioalkoholisti, pultsari  ","Deekut juo vaikka tuulilasinpesuainetta. Sit siihen tuli joku deeku äijä selittämään, ",an alcoholic
deitti ,"sovittu tapaaminen, treffit; (satunnainen) seurustelukumppani; seuranhakuun tarkoitettu Internet-palvelu, TV-ohjelma tms.  ","Mulla on tänään deitti Villen kanssa. Mihin te meinaatte mennä deiteillä? Ei se mikään poikaystävä oo, se oli vaan deitti. Ne on kuulemma tutustunu jossain deitissä. Telkkarista tulee tota deittiä ihan älyttömästi, ",date; date site
delata ,kuolla ,"slg. Mua hävetti niin paljon, et mä öisin voinu vaikka delata siihen. Se kukka delas ku en mä muistanu kastella sitä. Mun isoisä on delannu sodassa, ",die
demari ,sosiaalidemokraatti  ,Mun isä on demari henkeen ja vereen. Demarit voitti vaalit. Valtuustossa on puolet demareita ja puolet kepulaisia. ,a Social Democrat
depis ,"depressio, masennus  ","Niinalla on kauhee depis, ku ruotsin kokeet meni huonosti. Mä oon aina syksyllä ihan depiksessä. ",depression
devari ,DVD-soitin tai levy  ,"Ei kukaan enää osta videonauhureita, ku pitää olla devari. Tällä devarilla on paljon uutta matskua. ","DVD, DVD player"
digata ,"pitää jostakin, tykätä, välittää ",slg. Mä en diggaa hiphoppia yhtään. Diggasitko sä tosiaan siit muijasta ? Pennut diggaa pelata tietokoneella vaikka koko yön. ,to like
diileri 1 ,"(jonkin tuotteen) jakaja, jakelija, jälleenmyyjä; valuuttatai osakekauppias  ","Kannattaa ostaa suoraan maahantuojalta eikä miltään ihme diilereiltä. Diileri jako mulle hyvät kortit. Kai siilon rahaa, ku se on joku pörssidiileri. ",dealer
diileri 2 ,huumeiden välittäjä  ,slg. Assan kulmilla pyörii aina diilereitä. ,drug dealer
diili ,(kauppa)sopimus  ,"Meidän bändi sai diilin levy-yhtiön kanssa. Noitten uusien firmojen kanssa voi tehdä hyviä diilejä. Miten olis semmonen diili, et mä tiskaan ja sä imuroit? ",deal
dipata ,upottaa ruokaa (sormin) kastikkeeseen; syödä dippaamalla  ,"Sipsejä voi dipata vaikka kermaviiliin. Lihat grillataan ensiks ja sit dipataan soijakastikkeessa. Ne dippas ja joi kokista, ",dip
dippi ,"kastike, johon ruokaa dipataan  ",Jugurtista ja ranskankermasta saa hyvän dipin. ,dip sauce
diskata ,"diskvalifioida, hylätä kilpailusta tms.  ","Tuomari diskas maalin. Mut diskattiin sataselta, ku mä varastin kaks kertaa. Suomalaisia hiihtäjiä on diskattu paljon dopingin takia, ",disqualify
1 divari ,"ostoja myyntiliike, antikvariaatti  ","Pitäs viedä noi vanhat kirjat divariin. Mä tykkään käydä divareissa, ku niistä saa vinyylilevyjä. ",second-hand shop
2 divari ,divisioona urheilussa ,Ville pelaa fudista nelosdivarissa. Joukkue tippu pääsarjasta divariin. ,division (in sports)
dokata ,"ryypätä, juopotella  ",slg. Mä dokaan kyllä melkein joka viikonloppu. Niina dokaa aina siideriä. Monta päivää te oikein ootte dokannu? ,drink alcohol
doku ,"juoppo, alkoholisti  ","slg. Toi äijä on täys doku. Portsari ei päästä dokuja sisään, ",an alcoholic
donitsi ,"lenkki, jolla hiukset kiinnitetään poninhännälle tai saparolle, ponnari  ",Niinalla oli irtoletti ja hieno donitsi. Ei tommosia pinkkejä donitseja käytä enää kukaan. ,pony-tail donut
dorka ,"hullu, tyhmä; ikävä, tylsä, vastenmielinen  ","slg. Se on niin dorka, ettei se kelvannu ees armeijaan. Meiän naapuri on ihan dorka. On dorkaa ajaa kännissä. Dorkaa vaan istua sisällä, ku on näin hieno ilma. ",crazy; stupid; boring
doupata ,"käyttää tai antaa dopingaineita, syyllistyä dopingiin; käyttää huumaavia aineita  ","Kyllä urheilijat douppaa joka maassa. Hiihtäjä jäi kiinni testeissä, kun se oli doupattu. Kaikki douppas siellä bileissä, ",todope
douppi ,"doping-aine, huumaava aine  ",Voi sitä kilpailussa pärjätä ilman douppiakin. Tunnetko sä jonkun doupin myyjän ? ,dope
dubata ,"äänittää elokuva tai video uudestaan toisella kielellä, jälkiäänittää ","Saksalaiset dubbaa kaikki ohjelmat. Tää video on dubattu suomeks, ku se on tarkotettu lapsille. ",to dub
dulla ,"hasis, kannabis, pilvi, ruoho  ","slg. Dulla on ihan eri asia ku jotkut kovat huumeet. Jengi joi kaljaa ja veti dullaa, ",hashish
dumari ,(urheilu)tuomari  ,"slg. Dumari meinas pilata matsin, ku se vihels jäähyjä koko ajan. ","referee, umpire"
dunkkis ,"haju, löyhkä  ",slg. Mikä ihmeen dunkkis täällä on? Tosta valkosipulista tulee kauhee dunkkis. ,smell
duunari ,"työntekijä, työläinen  ","Ei se oo ku tavallinen duunari. Kohta ei oo kunnon duunareita ollenkaan, ku kaikki haluu vaan mennä lukioon. ",worker
duunata ,"tehdä työtä, olla töissä; hommata, puuhailla; tehdä, valmistaa, korjata jotakin  ","Tiedäks sä mitä sen Niinan faija duunaa, ku niillä on niin hieno kämppä? Duunataan jotain hauskaa viikonloppuna. Mä duunasin itte kirjahyllyn. Aina se jaksaa duunata tota autoo. ","do, make"
duuni ,"työ, työpaikka; työ, homma, tehtävä  ","Mis sä oot duunissa ? Pitäs saada joku duuni kesäks. Mun pitää mennä kuudeks duuniin. Omakotitalossa on aina kaikkee pikku duunia. Toi mattojen pesu on kauhee duuni, ",job
dyykkari ,"ihminen, joka etsii roskasäiliöistä ruokaa, vaatteita tms. köyhyyden tai periaatteen vuoksi  ",Meidän roskiksessa on taas nukkunu joku dyykkari. Dyykkarit hakee ruokaa kauppojen roskiksista. ,dumpster diver
dödö ,deodorantti  ,"On vissiin dödö pettäny, ku kainalot on ihan märät. Voi harmi, mä unohdin ottaa dödön mukaan, ",deodorant
dösä ,bussi  ,"slg. Vika dösä lähtee kakskolme nelkytviis. Me ootettiin dösää melkein tunti. Lähetään puol kahen dösällä, ",bus
"eellä, eeitä, eelie ","edellä, edeltä, edelle  ","Mun kello on viis minuuttia eellä. Uskallatko sä hypätä viidestä metristä pää eellä? Aja sä vaan eeltä, me tullaan kohta perässä. Saisinks mä mennä teiän eelle, mullon vähän kiire? ","before, ahead, first"
eepilieri ,"ehkäisytabletti, -pilleri  ",Eepillereihin täytyy olla resepti. Käytäks sä eepillereitä? ,contraceptive pill
ees ,edes  ,"Ootetaan nyt ees viis minuuttia. Ei se sanonu mitään, ei ees kiittäny. ","at least, (not) even"
"eessä, eestä ","edessä, edestä [in/ (the) ",Niina istuu tuolla ihan eessä. Siinähän se avain on nenäs eessä. Mee pois telkkarin eestä! Mun pitäs lyhentää tukkaa vähän tost eestä. from front] ,in/ from (the) front
eestakas(in) ,edestakaisin  ,Mitä sä ravaat siin eestakasin? Ville ajeli koko yön eestakas kaupungilla. ,back and forth
ee vee vee koo ,"EVVK, ei voisi vähempää kiinnostaa  ","No kyllä oli taas semmonen luento, että ee vee vee koo. ""Ja kotiin sitten viimestään kaheltatoista! Ee vee vee koo!"" ",couldn't care less
ege ,"euro, erkki, jörö  ","slg. ""Paljon se maksaa? Viis egee."" Ei kymmenellä egellä saa yhtään mitään. ",euro
ehdoton ,"erittäin hyvä, erinomainen, suurenmoinen  ","Tää on ehdoton biisi! Ville on ihan ehoton tyyppi. iMskettelu on talvella ehdotonta hommaa. Nää kengät on reissussa ihan ehdottomat, ",very good
ehta ,"hyvä, aito, oikea  ",Onks toi kello ehta vai joku kopio? Kossu on ehtaa tavaraa. Bändi soitti ehtaa rokkia eikä mitään diskopaskaa. ,genuine
ei ala mitään ,varsinkin lasten puheessa kyllästymisestä tai harmistumisesta: ei haluta tehdä mitään  ,"Mä en ala mitään, jos en saa olla ekana. Ai sä et nyt taas ala mitään? Me ei aleta mitään, ku siel sataa, ",not willing to do anything or to join in
ei ensimmäistäkään ,"ei yhtään, yhtäkään, ainuttakaan  ","Siin porukas ei oo ensimmäistäkään täysjärkistä ihmistä. Mä oon lähettäny varmaan viiskyt hakemusta, mut en mä oo saanu ensimmäistäkään vastausta, ","no, none"
ei erkkikään ,"ei kukaan, ilmaisee ettäjokin on täysin mahdotonta tai sietämätöntä  ","Pane se radio kiinni, eihän tota kuuntele erkkikään! Eihän tämmöstä muussia erkkikään syö. Sataa kiloa ei nosta vanha erkkikään. Sun käsialasta ei ota naapurin erkkikään selvää. ",impossible for anyone
ei ihme ,"vastauksena toisen puheeseen: kyllähän sen tiesi, se oli odotettavissa  ","""Munfillari varastettiin eilen. Ei ihme, ku ethän sä koskaan pitäny sitä lukossa."" ",no wonder
ei juuta ei(kä) jaata ,"ei ole puolesta eikä vastaan, ei mitään mieltä, ei tarkoita mitään  ","En mä osaa sanoo siihen juuta enkä jaata. Ei se vastannu juuta eijaata. Tommonen tulos ei vielä meinaa juuta eikäjaata, ","noopinion,(mean) nothing"
ei kai 1 ,"lauseen alussa ilmaisee epätietoisuutta, epäröintiä, epäilevää suhtautumista tai vähättelyä oo.  ","Ei kai tota koko kirjaa tartte lukea? Ei kai toi oo Ville, toi tuolla kaukana ? Et kai sä aio lähtee enää ulos? Ei kai sil mitään väliä ","(as negative tag questions) ""It's not...is it?"", etc."
ei kai 2 ,"vastauksena toisen puheeseen ilmaisee myötätuntoista ihmettelyä: sepä ikävää, onpa harmi  ","""Voi hitsi, mä unohin avaimet kotiin! Ei kai! "" ",<used when expressing empathy and surprise:»
"ei kauaa, kauan nokka tuhise ","ei kestä kauan, ei viivytellä, ei mene aikaa  ","No siinei kauaa nokka tuhise, kun mä ton lampun vaihdan. Tommosen homman kanssa ei kauan nokka tuhise. Niinalla ei nokka kauaa tuhissu, ku se oli jo valmis, ",won't take long
ei konsti eikä mikään ,"helppoa, onnistuu helposti  ","No ei se oo konsti eikä mikään päästä yliopistoon, jos viittii lukee edes vähän. Tommonen kahenkymmenen kilsan lenkki nyt ei oo konsti eikä mikään. ",easy
eiks ,"eikö, emmekö, eivätkö  ","Eiks ookin hyvää tää ruoka? Eikse oo ton Villen pikkuveli? Eiks me olla viikonloppuna mökillä? Eiks ne tuukaan? Tää on sun takkis, eiks niin ? Sit lähetään ulos, eiks vaan ? ",not (in questions)
eiku 1 ,"eikun,eimuutakuin ",Ei ku syömään! Vaatteet päälle ja ei ku menoks! Sit kun alkaa loma niin ei ku terassille. ,"""Let's..."""
eiku 2 ,"korjausta tai tarkennusta ilmaisemassa: ei, vaan...  ","Me tullaan tiistaina, ei ku siis keskiviikkona. ""Onks tää suolaa? Ei ku sokeria."" ""Ooksä naimisissa ? En ku kihloissa."" ","no, ""No, I mean..."""
eiku 3 ,"perustelemassa kielteistä vastausta: ei koska, ei sillä  ","""Läheksä syömään? Ei ku mä otin eväät mukaan."" ""Onks sul paljon sisaruksia ? Ei ku yks sisko vaan."" ","""No (because)..."""
ei kävele ,"ei onnistu, ei sovi  ","Kyl sun pitää mennä kouluun, ei tommonen lintsaaminen kävele enää. ""Lainaisiks sä autoo mulle ? Ei kävele!"" ","""Noway!"""
ei mitään ,"vastauksena kiitokseen tai anteeksipyyntöön; ei se mitään, ei haittaa mitään  ","""Kiitti sulle! Ei mitään."" ""Anteeks, et mä oon myöhässä. Ei mitään!"" ","<a reply to ""thanks"" or ""sorry"">"
ei paha ,"hyvä, ei hassumpi  ","Kakskymppiä, ei oopaha hinta. ""Kato, mikä mies! Ei paha."" ","""not bad"""
ei paskaakaan ,"ei mitään, ei yhtään, ei tippaakaan  ",vulg. Mä en kuule välitä paskaakaan sun jutuistas. Meillei ollu rahaa paljon paskaakaan. ,not at ali
ei se mitään ,"vastauksena kiitokseen tai anteeksipyyntöön; ei haittaa mitään, ei sillä ole väliä  ","""Kiitti, kun autoit mua. Ei se mitään!"" ""Anteeks, että mä oon myöhässä. Ei se mitään!"" Me kastuttiin ihan läpimäriks, mutta ei se mitään. ","<a reply to ""thanks"" or ""sorry"">"
ei tahdo ,"ei käy, ei onnistu  ","No ei tää jääty ny ovi taho aueta millään. Villeltä ei oikein tahtonu ne bisnekset sujua, ",can't seem to...
ei tee mitään 1 ,"ei haittaa mitään, ei sillä ole väliä  ","Rahat on loppu, mutta ei tee mitään! Ei tehny mitään, vaikka mä en ollukaan luennolla. ",it's all right
ei tee mitään 2 ,"jollakin esineellä tai asialla ei ole käyttöä, se on tarpeeton tai kelvoton  ","Heitä se paperi roskiin, ei sillä tee mitään. Ei tommosella vanhalla romulla tee yhtään mitään. Eikö hyvillä tavoilla tee enää mitään ? ",(be) of no use
ei tee pahaa ,"olisi hyvä, sopisi hyvin  ","Loma ei tee yhtään pahaa. Ei tekis pahaa syödä jotakin. Ei ois tehny pahaa, vaikka ois saanu vähän lisää palkkaakin, ",would be good
ei tipu ,"jyrkkä kielto: en anna, ei onnistu, ei tule kuuloonkaan  ","""Oisko sul lainata vähän ? Ei tipu!"" ","""No way!"""
ei tule mitään ,"ei suju, ei onnistu  ","Ei tuu mitään, mä meen nyt kotiin. En mäjaksa enää lukee, ei täst tuu yhtään mitään. Ei siit laiturin rakentamisesta tullu yhtään mitään. ",go badly
ei tuon taivaallista ,ei yhtään mitään  ,"Eihän se myyjä tienny tuon taivaallista siitä mitä mä puhuin. Älä murehdi turhaan semmosta pikku juttua, ku ei siitä kukaan välitä tuon taivaallista, ",not at ali
eka ,ensimmäinen; peruskoulun ensimmäinen luokka  ,"Kuka oli eka? Mut haastateltiin ekana. Ne asuu eka kerroksessa. Ville kiilas kylmästi ekaks, vaikka sielloli kauhee jono. Mä sain ekat luistimet viisvuotiaana. Se oli varmaan ihan niitä ekoja videoita siilon seitkytluvulla. Onkse teijän tyttö jo ekalla? Se menee syksyllä ekalle. ",(the) first; first grade (at school)
eka kerta ,ensimmäinen kerta  ,"Kyllä eka kertajää aina mieleen. Ootsä täällä eka kertaa ? Siilon mä maistoin ekan kerran tupakkaa. Mä pääsin heti eka kerralla inssiajosta läpi. Ei se oo niin helppoo ekalla kerralla, ",the first time
ekaksi ,"ensin, ensiksi  ","Mennään vaan, mut mun pitää meikata ekaks. ",first
ekaluokkalainen ,peruskoulun ensimmäisen luokan oppilas  ,On noi ekaluokkalaiset vielä aika pieniä. ,first-grade pupil
eke ,"euro, ege  ","Heitä hei pari ekee. Me ostettiin melkein sadalla ekellä ruokaa, ",euro
eksä ,"etkö (sinä), etsä  ",Eksä mennykään vielä? ,"aren't you, don't you, haven't you, etc."
"eli, elikkä ","selittämässä tai tarkentamassa aikaisemmin sanottua, ilmaisemassa seuraavaan asiaan siirtymistä: toisin sanoen, seuraavaksi, ja (2)  ","No tässon tämmönen integroitu digi-teevee, eli siihen ei tartte sitä erillistä boksia ollenkaan. Ajokortin saa kun on täysikänen, elikkä kaheksantoista. Eli sit meillä olis seuraava esitelmä. Joo, elikkä katsotaas vielä toi autotalli. ","(filler word); so, that is, which means"
eliun kanat ,"huolettomasti, vapaasti, mistään välittämättä  ","Nyt ei kukaan riitele, ollaan vaan kun eliun kanat. Me oltiin kaikki päivät kännissä ku ellun kanat, ",not caring about anything
elukka ,"eläin, otus  ","Maantiellä oli jonkun elukan raato. Niina ei voi pitää mitään elukoita, ku siilon allergia. Onks noi jotain sokeritoukkia, noi ällöttävät elukat tuolla vessassa? ",animal;bug
elvistellä ,"ylpeillä, leuhkia, levennellä  ","Naapurin äijä aina elvistelee rahoillaan. Muijat oli ihan innoissaan, ku Ville elvisteli baaritiskillä. Ei tänne tartte tulla elvistelemään. ",show off
elää kuin pellossa ,"elää huolettomasti, holtittomasti, siivottomasti  ","Ne mukulat elää ku pellossa, ei niille pidetä yhtään kuria. Niina piti bileitä ja eli ku pellossa heti ku niiden porukat lähti mökille. Nyt siivoomaan, ei täällä eletä ku pellossa! ",live carelessly
elää kädestä suuhun ,"elää siten, että kaikki rahat menevät heti, olla kykenemätön säästämään  ","Ei toi palkka riitä mihkään, mä elän koko ajan ihan kädestä suuhun. ",live hand to mouth
emmä ,"en minä, en mä  ",Emmä tiiä. Emmä osaa sanoo. Emmä ymmärrä noista tietokoneista mitään.,"I don't, I'm not, I haven't, etc."
emämunaus ,"täydellinen epäonnistuminen, erittäin suuri virhe  ","Toi maali oli kyllä puolustajan emämunaus. Se oli Villeltä varsinainen emämunaus lähtee siihen verkostomyyntiin. Mä tein tentissä oikein emämunauksen, ",big mistake
emäntä ,"perheenäiti, vaimo; tyttöystävä, nainen; eukko, muija  ",Meiän emäntä pani mut imuroimaan. Aateltiin vaan istua kotona emännän kanssa. Onks toi sun emäntäs? ,"mother, wife; girlfriend; woman"
emäsi ka ,"sikamainen, epäsiisti, moraaliton ihminen ","halv. Sit siel raflas joku känninen äijä alko kähmimään, oikee emäsika. ",person with no morals
emävale ,suuri valhe  ,"Vale, emävale, tilasto. Nyt päästit semmosen emävaleen, et ei tota kukaan usko. ",big lie
enemmän tai vähemmän ,"jonkin verran, jossain määrin  ",On ne sen lehden jutut enemmän tai vähemmän mielenkiintosia. Oon mä enemmän tai vähemmän miettiny sitä asunnon ostoo. ,to some extent
enempi ,"enemmän; ennemmin, pikemmin  ","Ois pitäny nukkua enempi viime yönä. Ei siel käy nuorta jengiä, se on enempi semmonen tanssipaikka, ",more; more like
enempi vähempi ,"jonkin verran, jossain määrin, enemmän tai vähemmän  ","Voi siihen laittaa enempi vähempi valkosipuliakin, ei se oo niin nuukaa. Kyllä se matsi meni enempi vähempi tappeluks siin lopussa. ",to some extent
enkka ,ennätys  ,Paljon sun enkka on? Ville teki matopelissä uuden enkan. ,"record, the best result"
enkkll ,"englannin kieli, varsinkin oppiaineena; englantilainen  ","Meillä oli enkun kaksoistunti. Niina kirjotti enkusta eksimian. Mä osaan enkkua, ruottia ja vähän saksaa. Onkse bändi amerikkalainen vai enkku? Enkut on aina ihan ihmeissään, kun sataa lunta. ",English
enks ,enkö (minä)  ,Enks mä sitä sanonu? ,"haven't I, didn't I, etc."
Enkuissa ,Englannissa  ,Mä olin Enkuissa kielikurssilla. Koska sä lähet sinne Enkkuihin? ,in England
